ACK/KA/RERA/1251/310/PR/070524/008124,ACK/KA/RERA/1251/310/PR/070524/008124,PRM/KA/RERA/1251/310/PR/210524/006928,GOOD EARTH OCHRE,GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED;
ACK/KA/RERA/1251/308/PR/070524/008123,ACK/KA/RERA/1251/308/PR/070524/008123,PRM/KA/RERA/1251/308/PR/210524/006926,FORTUNERS INFRA ELIXIR,FORTUNERS INFRA;
ACK/KA/RERA/1251/446/PR/070524/008121,ACK/KA/RERA/1251/446/PR/070524/008121,PRM/KA/RERA/1251/446/PR/050824/006959,Allure Avani Phase I,Allure Awani Private Limited;
ACK/KA/RERA/1273/318/PR/070524/008120,ACK/KA/RERA/1273/318/PR/070524/008120,PRM/KA/RERA/1273/318/PR/160524/006876,A.R. SATTVA,ONYX ASSETS LLP;
ACK/KA/RERA/1250/303/PR/060524/008118,ACK/KA/RERA/1250/303/PR/060524/008118,PRM/KA/RERA/1250/303/PR/180524/006905,CLASSIC BULWARK VILLAGE PHASE 4C,ADDRESS MAKER LIFE SPACES PVT LTD;
ACK/KA/RERA/1251/308/PR/050524/008115,ACK/KA/RERA/1251/308/PR/050524/008115,PRM/KA/RERA/1251/308/PR/300724/006952,Vista,M S Shelters Private Limited;
ACK/KA/RERA/1250/301/PR/040524/008113,ACK/KA/RERA/1250/301/PR/040524/008113,PRM/KA/RERA/1250/301/PR/190724/006945,URU,FATEH GRANITES LIMITED;
ACK/KA/RERA/1251/310/PR/030524/008110,ACK/KA/RERA/1251/310/PR/030524/008110,PRM/KA/RERA/1251/310/PR/160524/006877,THE DOWNNTOWN PHASE 1,Kavitha  RamReddy;
ACK/KA/RERA/1257/334/PR/020524/008104,ACK/KA/RERA/1257/334/PR/020524/008104,PRM/KA/RERA/1257/334/PR/040524/006849,MAHALAXMI,Land Trades Builders and Developers;
ACK/KA/RERA/1257/335/PR/010524/008100,ACK/KA/RERA/1257/335/PR/010524/008100,PRM/KA/RERA/1257/335/PR/210524/006921,CONCORD RESIDENCY,ZAKARIYA SAMPYA ;
ACK/KA/RERA/1251/309/PR/300424/008099,ACK/KA/RERA/1251/309/PR/300424/008099,PRM/KA/RERA/1251/309/PR/210524/006920,RUBBY CASTLE 1,RUBBY ARC LLP;
ACK/KA/RERA/1251/472/PR/300424/008097,ACK/KA/RERA/1251/472/PR/300424/008097,PRM/KA/RERA/1251/472/PR/140524/006872,Prestige Camden Gardens,PRESTIGE ESTATES PROJECTS LTD;
ACK/KA/RERA/1251/310/PR/300424/008096,ACK/KA/RERA/1251/310/PR/300424/008096,PRM/KA/RERA/1251/310/PR/180524/006902,ROYAL ENCLAVE,MEGA BUILDERS;
ACK/KA/RERA/1251/308/PR/300424/008095,ACK/KA/RERA/1251/308/PR/300424/008095,PRM/KA/RERA/1251/308/PR/210524/006935,Ayatana Residences E-City,ARATT ONE WORLD PRIVATE LIMITED;
ACK/KA/RERA/1251/310/PR/300424/008094,ACK/KA/RERA/1251/310/PR/300424/008094,PRM/KA/RERA/1251/310/PR/040524/006862,CASAGRAND CASABLANCA,CASAGRAND LOTUS PRIVATE LIMITED;
ACK/KA/RERA/1251/308/PR/300424/008092,ACK/KA/RERA/1251/308/PR/300424/008092,PRM/KA/RERA/1251/308/PR/180524/006895,Sai Prasanthi Lake City,M/S  Sri Simhadri Realtors And Developers;
ACK/KA/RERA/1251/309/PR/290424/008090,ACK/KA/RERA/1251/309/PR/290424/008090,PRM/KA/RERA/1251/309/PR/200524/006910,Assetz Soho  Sky Phase 1B,APG IMPERIAL HOMES PRIVATE LIMITED;
ACK/KA/RERA/1251/310/PR/290424/008089,ACK/KA/RERA/1251/310/PR/290424/008089,PRM/KA/RERA/1251/310/PR/180524/006901,Pacific Legacy,Maryiam Infrastructure Private Limited;
ACK/KA/RERA/1669/440/PR/280424/008085,ACK/KA/RERA/1669/440/PR/280424/008085,PRM/KA/RERA/1669/440/PR/200524/006909,VIDYAGIRI STAGE 2,Virupaksha M Biradar;
ACK/KA/RERA/1273/318/PR/270424/008084,ACK/KA/RERA/1273/318/PR/270424/008084,PRM/KA/RERA/1273/318/PR/160524/006875,DHOOMAVATHI PRIDE,BALACHANDRA;
ACK/KA/RERA/1249/447/PR/270424/008081,ACK/KA/RERA/1249/447/PR/270424/008081,PRM/KA/RERA/1249/447/PR/210524/006927,THE STRAND,THE STRAND CONSTRUCTIONS;
ACK/KA/RERA/1273/319/PR/250424/008080,ACK/KA/RERA/1273/319/PR/250424/008080,PRM/KA/RERA/1273/319/PR/080824/006966,HERITAGE HEIGHTS,DHARMA ASSOCIATE;
ACK/KA/RERA/1251/446/PR/250424/008078,ACK/KA/RERA/1251/446/PR/250424/008078,PRM/KA/RERA/1251/446/PR/160824/006971,ZALA PRADOS,ZALA ESTATES AND PROPERTIES;
ACK/KA/RERA/1251/309/PR/250424/008077,ACK/KA/RERA/1251/309/PR/250424/008077,PRM/KA/RERA/1251/308/PR/160824/006970,Circular Reflections - Villa Plot Development,CAP-STONE VENTURES LLP;
ACK/KA/RERA/1251/308/PR/240424/008076,ACK/KA/RERA/1251/308/PR/240424/008076,PRM/KA/RERA/1251/308/PR/040524/006859,PRUTHVI VIVANTA,PRUTHVI PROJECTS;
ACK/KA/RERA/1274/351/PR/230424/008072,ACK/KA/RERA/1274/351/PR/230424/008072,PRM/KA/RERA/1274/351/PR/040524/006867,EMERALD PARK,KESHAVA PRIME ;
ACK/KA/RERA/1257/336/PR/230424/008070,ACK/KA/RERA/1257/336/PR/230424/008070,PRM/KA/RERA/1257/336/PR/040524/006864,I B RESIDEBNCY,GRA INFRASTRUCTURE;
ACK/KA/RERA/1250/304/PR/200424/008069,ACK/KA/RERA/1250/304/PR/200424/008069,PRM/KA/RERA/1250/304/PR/170524/006887,Sanjeevini Aarna,Sanjeevini Projects;
ACK/KA/RERA/1251/446/PR/200424/008068,ACK/KA/RERA/1251/446/PR/200424/008068,PRM/KA/RERA/1251/446/PR/040524/006861,UDBHAV GOKULAM,UDBHAV BUILDERS AND DEVELOPERS;
ACK/KA/RERA/1250/301/PR/200424/008067,ACK/KA/RERA/1250/301/PR/200424/008067,PRM/KA/RERA/1250/301/PR/140524/006871,REWILD DODDABALLAPURA,Rewild Life LLP;
ACK/KA/RERA/1251/308/PR/200424/008066,ACK/KA/RERA/1251/308/PR/200424/008066,PRM/KA/RERA/1251/308/PR/220424/006830,CASAGRAND VIVACITY,CASA GRANDE GARDEN CITY BUILDERS PVT LTD;
ACK/KA/RERA/1250/303/PR/190424/008065,ACK/KA/RERA/1250/303/PR/190424/008065,PRM/KA/RERA/1250/303/PR/170524/006884,GREEN FIELD GARDENS EXTENSION - 4 AND 5A,TELECOM EMPLOYEES CO-OPERATIVE HOUSING SOCIETY LTD;
ACK/KA/RERA/1251/446/PR/190424/008064,ACK/KA/RERA/1251/446/PR/190424/008064,PRM/KA/RERA/1251/446/PR/170524/006886,MSR PASSION SQUARE,MSR SHELTERS LLP;
ACK/KA/RERA/1251/310/PR/190424/008063,ACK/KA/RERA/1251/310/PR/190424/008063,PRM/KA/RERA/1251/310/PR/040524/006844,The Minerva,Countryside Minerva LLP;
ACK/KA/RERA/1251/446/PR/190424/008062,ACK/KA/RERA/1251/446/PR/190424/008062,PRM/KA/RERA/1251/446/PR/040524/006860,NAVA VAJRA,NAVA JYOTHI SHELTERS PRIVATE LIMITED;
ACK/KA/RERA/1268/378/PR/180424/008058,ACK/KA/RERA/1268/378/PR/180424/008058,PRM/KA/RERA/1268/378/PR/180524/006899,Shree Siddarameshwara Layout,Ambika Sathish;
ACK/KA/RERA/1254/463/PR/180424/008056,ACK/KA/RERA/1254/463/PR/180424/008056,PRM/KA/RERA/1254/463/PR/040524/006866,VM INNOVATIVE TOWNSHIP,VM VENTURES;
ACK/KA/RERA/1251/446/PR/170424/008055,ACK/KA/RERA/1251/446/PR/170424/008055,PRM/KA/RERA/1251/446/PR/220424/006826,CKPC HORIZON,CKPC HORIZON PRIVATE LIMITED;
ACK/KA/RERA/1254/460/PR/170424/008054,ACK/KA/RERA/1254/460/PR/170424/008054,PRM/KA/RERA/1254/460/PR/240424/006832,OVER THE RAINBOW PHASE 1,TOTAL ENVIRONMENT PROJECTS INDIA PRIVATE LIMITED;
ACK/KA/RERA/1251/309/PR/170424/008053,ACK/KA/RERA/1251/309/PR/170424/008053,PRM/KA/RERA/1251/309/PR/180524/006900,DHARA NAKSHTHRA,DHARA HOME SPACES;
ACK/KA/RERA/1251/309/PR/170424/008052,ACK/KA/RERA/1251/309/PR/170424/008052,PRM/KA/RERA/1251/309/PR/030524/006839,Concorde Mayfair,Concorde Housing Corporation Pvt Ltd;
ACK/KA/RERA/1251/308/PR/160424/008051,ACK/KA/RERA/1251/308/PR/160424/008051,PRM/KA/RERA/1251/308/PR/220424/006827,RRL PALACIO,RRL BUILDERS AND DEVELOPERS PRIVATE LIMITED;
ACK/KA/RERA/1257/334/PR/160424/008050,ACK/KA/RERA/1257/334/PR/160424/008050,PRM/KA/RERA/1257/334/PR/180424/006805,ANTARES,CITADEL PROJECTS AND DEVELOPERS PRIVATE LIMITED ;
ACK/KA/RERA/1257/478/PR/160424/008049,ACK/KA/RERA/1257/478/PR/160424/008049,PRM/KA/RERA/1257/478/PR/210524/006917,GALAXY APARTMENT,MODERN DEVELOPER;
ACK/KA/RERA/1251/446/PR/160424/008048,ACK/KA/RERA/1251/446/PR/160424/008048,PRM/KA/RERA/1251/446/PR/180424/006797,Miraya Woods by UKN,WATERLINE HOTELS PRIVATE LIMITED;
ACK/KA/RERA/1251/446/PR/160424/008047,ACK/KA/RERA/1251/446/PR/160424/008047,PRM/KA/RERA/1251/446/PR/030524/006842,BREN IMPERIA GRANDE,BREN CORPORATION;
ACK/KA/RERA/1258/404/PR/160424/008046,ACK/KA/RERA/1258/404/PR/160424/008046,PRM/KA/RERA/1258/404/PR/220424/006820,AM VIRUPAKSHAPPA EXOTICA,AM Builders and Developers;
