Business Name,Category,Rating,Number of Reviews,Phone Number,Address,Operating Hours
C D Estate Agency,Real estate agency,5.0,(45),,"Shop no 22, Vini Classic Building, CHSL, Mahatma Gandhi Rd, opp. RNA Royale Park, Kandivali, Maharashtra Nagar, W, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10:30 am Wed"
MVP REALTY,Real estate consultant,4.9,(24),,"Shop No. D1, Swayam Bungalow, Blossom Bldg, K T Soni Marg, Mahavir Nagar, Pragati Society, Mahavir Nagar, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
Nivom Realty | Real Estate Agency In Mumbai,Real estate consultant,4.8,(62),,"Shop No. 27, ground Floor, J 2 building, Wadala Truck Terminal, Sion, Mumbai, Maharashtra 400037","Closed ⋅ Opens 9 am Wed"
SHIVOM REAL ESTATE AGENCY,Real estate agency,4.9,(165),N/A,"Room.12,chawl No.1, adarsh nagar, shell colony road, railway station east, near Tilak Nagar, Kamgaar Nagar, Kurla, Mumbai, Maharashtra 400071","Closes soon ⋅ 9:30 pm ⋅ Opens 9 am Wed"
Dipesh H. Vora Estate Agent,Real estate agency,4.8,(80),"098215 18572","Shop Number. 5, Indumati Apartment, Shimpoli Rd, opp. Gokhale School, Gautam Nagar, Borivali West, Mumbai, Maharashtra 400092","Closed ⋅ Opens 10 am Wed"
Makwana Property I Commercial Shop office Rent & Sell In Kandivali I 1 BHK & 2 BHK Property Flat on Rent in Kandivali,Real estate agency,5.0,(28),,"Shop Number 6, Gaurav Garden Complex, DIVYA SRUSHTI, Building, Bander Pakhadi, Kandivali West, Mumbai, Maharashtra 400067",
Viishesh Realtors,Industrial real estate agency,5.0,(45),,"Office No 11 Ground Floor, Rajiv Gandhi Commercial Complex, opp. Ekta Nagar Road, Kandivali, Chatrapati Shivaji Raje Complex, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 9 am Wed"
Eversmile Realtors,Real estate agent,4.8,(45),,"Shop No 6, Girdhar Apartment, Shimpoli Rd, Kastur Park, Borivali West, Mumbai, Maharashtra 400092","Closed ⋅ Opens 10 am Wed"
Exquisite Realtors - Property Developers & Consultants,Real estate agency,4.8,(5),,"B/4, Laxmi Apartment No. 2, M. G. Road, Kandivali (West), behind Patel Nagar, Mumbai, Maharashtra 400067","Closed ⋅ Opens 9:30 am Wed"
KHETAN ESTATE AGENCY,Real estate agency,4.7,(30),,"Shop no 178, Malad Shopping Center, Swami Vivekananda Rd, Malad, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064",
Dipesh H. Vora Estate Agent,Real estate agency,4.8,(80),"098215 18572","Shop Number. 5, Indumati Apartment, Shimpoli Rd, opp. Gokhale School, Gautam Nagar, Borivali West, Mumbai, Maharashtra 400092","Closed ⋅ Opens 10 am Wed"
Manish Ved Estate,Real estate agency,4.7,(36),,"Office No. 35, 1st Floor, BMC Retail Market, opp. Pheonix Hospital, off New Link Road, Chikoowadi, Borivali, Mumbai, Maharashtra 400092","Closed ⋅ Opens 10:30 am Wed"
MVP REALTY,Real estate consultant,4.9,(24),,"Shop No. D1, Swayam Bungalow, Blossom Bldg, K T Soni Marg, Mahavir Nagar, Pragati Society, Mahavir Nagar, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
Alex realtor Pvt Ltd - Property Consultant in Mumbai,Real estate consultant,4.8,(15),,"10th Floor/1001, Dhukka Chambers, Poddar Rd, Malad, Malad East, Mumbai, Maharashtra 400097","Closed ⋅ Opens 10 am Wed"
Rajesh Realtors,Real estate agency,4.9,(35),,"Shop No. 14, A - Wing, Rock Avenue Plot D, Bandar Pakhadi Rd, near ICICI Bank, Hindustan Naka, Sai Nagar, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
RK Mumbai Realtors,Real estate agency,4.5,(127),,"Shop 2B, Shalimar CHS, VM Bhargav Rd, Hasmukh Nagar, Santacruz (West), Mumbai, Maharashtra 400054","Closed ⋅ Opens 10:30 am Wed Updated by phone call 11 weeks ago"
C D Estate Agency,Real estate agency,5.0,(45),,"Shop no 22, Vini Classic Building, CHSL, Mahatma Gandhi Rd, opp. RNA Royale Park, Kandivali, Maharashtra Nagar, W, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10:30 am Wed"
Shree Krishna Estate Agent,Real estate agent,4.8,(33),,"Shop No:6, KIRAN TOWER, P.G.Road, opp. Toyata Showroom, off New Link Road, Malad, Ekta Nagar, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10 am Wed"
Maruti Estate Agents,Real estate agency,4.9,(117),"098202 22158","Shop No. 14, Indraprastha Estate, Kandivali, MHADA Colony, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10:30 am Wed"
B.K Estate Agent,Real estate agency,4.9,(70),N/A,"Shop No.1, Raj Niketan Building, Swami Vivekananda Rd, opp. Mahindra Garden, OPP, Mahindra Gardens, Unnat Nagar, Goregaon West, Mumbai, Maharashtra 400104","Closed ⋅ Opens 10 am Wed"
Balaji Estate Property Solutions-Best Estate Agent in Malad |Office&Flat Rent |PropertyConsultant Flat Sell&Buy Malad |Mumbai,Real estate consultant,4.8,(53),,"Shop No.4, Shiv Bhakti Apartment, Ahimsa Marg, off New Link Road, Malad, Chincholi Bunder, Malad West, Mumbai, Maharashtra 400064",
Happy Homes - Mr. D Mehta Property Consultants & Brokers in Vile Parle Juhu,Real estate agency,4.9,(161),,"Unit no 1, florich apt, passage road, Laxmi Society, Navpada, Irla, Vile Parle West, Mumbai, Maharashtra 400056",
Krishika Real Estate - Best Real Estate Agent in Kandivali (West),Real estate consultant,4.8,(12),N/A,"R.No.8, 1st Floor, Gurunanak Niwas, Iraniwadi Rd Number 3, opp. Sanskruti Apartment 2 Kailash Heights, Kandivali, Hemu Colony, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067",N/A
Marck Realty,Real estate agency,4.5,(69),,"Unit No. 801, Accord Classic, Station Rd, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 400063","Closed ⋅ Opens 10 am Wed"
"Sharma Estate Agency, Estate Agent, Estate Broker, property Agent, Property Consultant",Real estate agent,4.2,(26),,"F-003, 1st Floor, Shagun Arcade, General Arun Kumar Vaidya Marg, opp. HDFC Bank, Malad, Dindoshi, Goregaon, Mumbai, Maharashtra 400063",
Dreamz Realty Concept,Real estate agent,4.8,(55),"076666 56536","Shop no 7, Amisha bldg Charkop sec 8, kandivali West, RSC Rd Number 25, Kandivali, Sector 8, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
Real Properties,Real estate agent,4.9,(143),"090297 05337","Shop no. 20, Ground floor, Rustomjee Eaze Zone mall, Malad, Sunder Nagar, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 9 am Wed"
Nivom Realty | Real Estate Agency In Mumbai,Real estate consultant,4.8,(62),,"Shop No. 27, ground Floor, J 2 building, Wadala Truck Terminal, Sion, Mumbai, Maharashtra 400037","Closed ⋅ Opens 9 am Wed"
DHAIRYA PROPERTIES,Real estate agency,4.8,(54),,"Shop No. 44, Whispering Palms Shopping Complex, Akurli Rd, Kandivali, Alika Nagar, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10:30 am Wed"
Dedhia Estate Agency,Real estate agency,5.0,(2),,"Chawl, Mamleddarwadi, Ajugia House, 2H, Swami Vivekananda Rd, Malad, Navy Colony, Mamledarwadi, Malad W, Mumbai, Maharashtra 400064","Closed ⋅ Opens 9 am Wed"
Paras Panna Estate Agency,Real estate agency,5.0,(6),,"Rock Avenue Plot D, Shop No.1, D, Off, Bandar Pakhadi Rd, near ICICI Bank, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 9 am Wed"
Lux Real Estate Consultant,Real estate agency,4.9,(50),N/A,"Ram nagar building no.6, Unnat Nagar 1, West, opp. Municipal school, Goregaon, Mumbai, Maharashtra 400104","Closed ⋅ Opens 10 am Wed"
Jigar Real Estate,Real estate agency,4.9,(170),"080822 01002","Shop No 1, Snehal Building, Carter Rd Number 5, Chinchpada, Borivali East, Mumbai, Maharashtra 400066","Closed ⋅ Opens 9 am Wed"
Propshop Realty,Real estate agent,4.4,(13),,"UMANG CHSL, A 001 /002, Mathuradas Road, next to SIDDHIVINAYAK MANDIR, Anand Nagar, Hemu Colony, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10:30 am Wed Updated by this business 8 weeks ago"
Mumbai Realtors Private Limited,Real estate consultant,4.8,(46),,"Shop No. 5B, Ground Floor, 'D' Wing, Crystal Plaza, New Link Road, KL Walawalkar Marg, opp. Infiniti Mall, Andheri West, Mumbai, Maharashtra 400053","Closed ⋅ Opens 10:30 am Wed"
Makwana Property I Commercial Shop office Rent & Sell In Kandivali I 1 BHK & 2 BHK Property Flat on Rent in Kandivali,Real estate agency,5.0,(28),,"Shop Number 6, Gaurav Garden Complex, DIVYA SRUSHTI, Building, Bander Pakhadi, Kandivali West, Mumbai, Maharashtra 400067",
Premier Estates,Real estate consultant,5.0,(20),,"32-B, Shree Laxmi Vijay Industrial Estate, New Link Road,Laxmi Industrial, Estate, SAB TV Road, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053","Closed ⋅ Opens 10 am Wed"
"Tejasvi Realty-Desai Rakesh | Flats, Apartments, Villa, Office, Bungalow For Sale in Juhu",Real estate agent,4.9,(118),,"Swastik Plaza, V L, Vaikunthlal Mehta Rd, Yamuna Nagar, Nehru Nagar, Airport Area, Vile Parle West, Mumbai, Maharashtra 400049",
Dreams2Realty - Real Estate Agents Khar,Real estate agency,4.9,(56),,"Tharu House, 769/1, 4th Rd, Khar, Junction, Khar West, Mumbai, Maharashtra 400052","Closed ⋅ Opens 9:30 am Wed"
0.5% Brokerage only Real Estate Agent Kandivali,Real estate agency,5.0,N/A,,"no 3, Thakur International school, Atul Tower, 3, Abhijit Chs, Near, Near, Hemu Kalani Road, Mathuradas Road, extension, Irani Wadi, Kandivali West, Mumbai, Maharashtra 400067",Raheja Realty - Real Estate Consultant & Legal Expert in Mumbai,Real estate agency,4.4,(16),,"Flat.202-A Wing, Park Side-2,Raheja Estate, Kulupwadi Rd, Kulupwadi, Borivali East, near National Park, Mumbai, Maharashtra 400066",
One Realty - Real Estate Consultancy,Real estate agency,5.0,(40),,"Shop No 11, Crown Vasant Marvel, Western Express Hwy, Kandivali, Asha Nagar, Borivali East, Mumbai, Maharashtra 400066",
"RealtySpaces By Shree Properties - Best Real Estate Agent in Thakur Village, Kandivali East",Real estate agent,5.0,(65),,"Viceroy Court, 25, near Dominos Pizza & Natures Basket, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101",N/A
R Properties - Best Real Estate Broker In Kandivali,Real estate agency,4.9,(8),N/A,"GOVARDHAN NAGAR, 18, opposite Boraspada Road, Dev Nagar, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10:30 am Wed"
Mamta Estate And Property Consultants,Real estate agent,4.4,(29),,"Shop No-8, Haridwar Apartments, Evershine Nagar, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 9 am Wed"
Nandi Real estate,Real estate consultant,4.5,(22),,"SHAH ARCADE-2, Shop no 9, Rani Sati Marg, Malad East, Mumbai, Maharashtra 400097","Open 24 hours"
Siddhivinayak Real Estate,Real estate agency,4.4,(21),,"Shop Number 14,15, Bhoomi Park Phase 1, near Billabong International School, Malad, Jankalyan Nagar, Malad West, Mumbai, Maharashtra 400095","Closed ⋅ Opens 10 am Wed"
Salasar Realtor,Real estate agent,5.0,(33),N/A,"603, Gokul Vihar Rd, Kandivali, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10:30 am Wed"
Just Deal Properties - Best real estate agent/best property dealers/Agent In Mumbai,Real estate agency,4.8,(59),,"Shop no. 4, Habib compound, Next Habibiya Masjid, opp. Railway Station, Jogeshwari West, Mumbai, Maharashtra 400102",
Yogi Real Estate Agents,Real estate agency,4.6,(98),"098200 59002","Shop no. 08,Viceroy Court, Opp. Jain Temple, near Domino's Pizza, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10 am Wed"
Shital Estate: Real Estate Agent,Real estate agency,4.3,(9),,"Shop No.13, Sai Raj Garden, Opp. Modi Park, Irani Wadi Road No.3, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 9 am Wed"
SHIVOM REAL ESTATE AGENCY,Real estate agency,4.9,(165),N/A,"Room.12,chawl No.1, adarsh nagar, shell colony road, railway station east, near Tilak Nagar, Kamgaar Nagar, Kurla, Mumbai, Maharashtra 400071","Closes soon ⋅ 9:30 pm ⋅ Opens 9 am Wed"
LANDMARK REALTY,Real estate consultant,5.0,N/A,N/A,"527, Prestige Industrial Estate, Bawdi, Sundar Cross Ln, Orlem, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10 am Wed"
Raj Realty Solutions,Real estate agent,4.6,(27),"098679 68603","1107, EAZE ZONE, opp. Rustomjee Ozone, Malad, Sunder Nagar, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10:30 am Wed"
Accord Investments & Properties,Real estate agency,4.5,(17),,"Office 1 & 2, Cluster_mumbai Suburban_331 Wing-B, CLUSTER_MUMBAI SUBURBAN-331, Mahatma Gandhi Rd, Amrut Nagar, Kamala Nagar, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
Croma Enterprises - Real Estate Agent in Borivali,Real estate agent,4.7,(26),,"A-503, Mansarovar, Kandivali, Satya Nagar, Borivali West, Mumbai, Maharashtra 400092","Closed ⋅ Opens 10 am Wed"
SHREE PROPERTY,Real estate agency,4.9,(83),,"Shop No. 1, Geetanjali Apartment, Datta Mandir Rd, opp. Gaondev. Temple, Kandivali, Veena Sitar, Dahanukar Wadi, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10:30 am Wed"
First Realty,Real estate agency,4.9,(77),,"Madhuban CHS, BS Ambedkar Nagar, Chembur, Mumbai, Maharashtra 400088","Closed ⋅ Opens 9 am Wed Confirmed by phone call 11 weeks ago"
Chanda Real Estate,Real estate agent,4.9,(50),,"Shop No.1307, Gupta Kiran Kirana Stores, Bldg, Eastern Express Hwy, near Omkar Raga, Yashwanth Nagar, Chembur, Mumbai, Maharashtra 400071",
Vinayak Estate Agency,Real estate consultant,5.0,(6),"077159 16818","Shop No.1, Chinmay CHS, opp. Bank Of Baroda, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10:30 am Wed"
Madanlal & Co. Estate Agents,Real estate agency,5.0,(4),"098201 37414","Shop No:8, Saraswati Darshan, Swami Vivekananda Rd, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10 am Wed"
Patel Estate Agency,Real Estate Builders & Construction Company,5.0,(2),,"11, Dwarkesh Apartment, Subhash Lane, opposite Mayur Talkies, Kandivali, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
FS Real Estate,Real estate agency,4.6,(34),,"FS Real Estate, Okaz Shopping Centre, A/31, Millat Nagar Rd, Andheri West, Mumbai, Maharashtra 400053","Closed ⋅ Opens 10:30 am Wed"
Modi Estate Agent,Real estate agency,4.5,(2),"096195 86555","Shop No.23, Sairaj Garden, Irani Wadi Road 3, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 11 am Wed"
Find My Home Property ( Home/ flat/ Shop ),Commercial real estate agency,5.0,N/A,N/A,"M.D. Road, kapadiya Cottage Opp. Power House, Kandivali (East 2nd floor Shiv parvati building, Mumbai, Maharashtra 400101","Open ⋅ Closes 11 pm"
Sandhya Real Estate,Real estate agency,4.7,(60),,"705 /Jai Ambe chs Shell Colony Road, near Eastern Express Highway, Chembur, Mumbai, Maharashtra 400071","Closed ⋅ Opens 10 am Wed"
Sayla Estate Agency,Real estate agent,4.5,(34),,"Gate no.2, Sayla Estate Agency, Ambavi House, Ground Floor Azad Nagar Soc, 1, NS Mankikar Rd, Vile Parle, Mumbai, Maharashtra 400056","Closed ⋅ Opens 10:30 am Wed"
Shagun Property & Consultancy,Real estate consultant,4.9,(88),,"Bldg No 46, Shop No. SG-001, Ground Floor, Suprabhat Chs Ltd Next to Maharashtra Housing and Area Development Authority Gandhi Nagar, Kala Nagar, Bandra East, Mumbai, Maharashtra 400051",
"Manisha Enterprises - Real Estate Agent | Residential & Commercial Property Consultant Agency in Kandivali, Mumbai.",Real estate agent,5.0,(10),,"Shop Number 4, Gokul Avenue, opp. Jio Digital Life, Kandivali, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101",
Rajesh Real Estate Agency,Real estate agency,4.8,(180),,"Shankar Nagar 1 Building No 10 Manshanti Co -op Housing Society, Office No 03, Ground Floor Bendre Chowk, 1, Santacruz – Chembur Link Rd, Shell Colony, Sahakar Nagar, Chembur, Mumbai, Maharashtra 400071","Closed ⋅ Opens 10 am Wed"
SAMRAT ESTATE AGENCY,Real estate agency,5.0,(6),"098676 03223","1/ Salim Bhai Cottage, Goregaon Malad Link Road Goregaon East, Opposite Idris Compound, Next to Irani Well, Mumbai, Maharashtra 400063","Closed ⋅ Opens 11 am Wed"
Future Real Estate Mumbai,Real estate agency,4.9,(59),,"Office No. 203 Anurag Business Center, near Amar Cinema, Chembur, Mumbai, Maharashtra 400071",N/A
"Maimoon Realty - Real Estate Agent, Broker & Consultant",Real estate agency,5.0,(389),,"RETIWALA PREMISES, 44, Swami Vivekananda Rd, opp. KHIRA NAGAR, Bhim Wada, Santacruz (West), Mumbai, Maharashtra 400054","Closed ⋅ Opens 10 am Wed"
A2K Realtors,Real estate agency,5.0,(64),"086898 32250","Sec8,Near Turzenpoint, Ruby Tower, Shivshakti ,shop No 4 Sai Mangal, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
JK Real Estate Agents(RERA REG),Real estate agency,4.8,(75),,"Shop no 2, Preeti CHS, Building no 7, 90 Feet Rd, near Durgaparmeshwari mandir, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075","Closed ⋅ Opens 9 am Wed"
Western Property Consultants - Real Estate Agent Mumbai | Property Advisors & Consultants | Real Estate Investments,Real estate consultant,4.9,(53),,"Shop no 3, 3A, Ozone Heights, Patel Estate Rd, opposite Iris Park Condominiums, opposite Amboli Police Station, B R Nagar, Jogeshwari West, Mumbai, Maharashtra 400102",
Mahavir Estate Agency,Real estate agency,4.5,(2),,"Shop No. 1, Sukan Apt, Mahatma Gandhi Cross Rd Number 3, opposite Saraswat Co-op Bank Ltd, Kandivali, Bhagat Colony, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
Nirav Nalin Shah - Real Estate Agent,Real estate agency,4.9,(15),"098202 79917","Shop No.30, Raj Garden, Mahavir Nagar, Kandivali West, Mumbai, Maharashtra 400067","Closed ⋅ Opens 10 am Wed"
Jaipuria Estate Agency,Real estate agent,4.5,(13),"097695 03403","Corner Stone Building, Shop Number 8, Film City Road, near Dindoshi Bus Depot, Mumbai, Maharashtra 400097","Closed ⋅ Opens 10 am Wed"
R.R. Associates Estate Consultants,Real estate agent,4.8,(17),,"Shop No. 18, Nimbus Centre Raviraj Oberoi Complex, Vastu Lane, Off New Link Rd, near Empressa Hotel, Andheri West, Mumbai, Maharashtra 400053","Closed ⋅ Opens 10 am Wed"
Mikki's Real Estate,Real estate agency,4.8,(35),,"Andheri, Happy Home, Sai Baba Ln, near Tolani College, Madhukunj Society, Sher E Punjab Colony, Andheri East, Mumbai, Maharashtra 400093","Closed ⋅ Opens 11 am Wed"
Shree Laxmi Real Estate Consultants and Developers,Real estate agency,4.8,(27),,"Shop no.3, Manthan Plaza, Market, P and T Colony, Vakola, Santacruz East, Mumbai, Maharashtra 400055",
Vora Estate Consultant (Best Brokers In Kandivali East),Real estate consultant,4.7,(3),,"Shop No 3, Sushila Smruti Building, Ashok Chakravarti Rd, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 9 am Wed"
SPY Realtors - Estate Agents in Powai | Real Estate Broker | Property Agent | Kanakia Silicon Valley,Real estate agency,4.7,(75),,"Shop No. 285, Powai Plaza, Shop No. 285, 2nd floor, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",
RATHOD ESTATE AGENCY,Real estate agency,5.0,(7),"093210 49835","k, sonal Industrial estate, Old, 20, New Link Rd, opposite बीकाजी फूड, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10 am Wed"
ZAD WORLD ESTATE,Real estate consultant,4.8,(137),,"443, Rajiv Gandhi Nagar, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050","Open 24 hours"
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Space Realtors (I) Pvt Ltd,Real estate agency,4.8,(9),N/A,"204,AHCL HOMES, Shimpoli, Borivali West, Mumbai, Maharashtra 400092","Closed ⋅ Opens 10 am Wed"
Shreeji Estate -Top Real Estate |commercial flat broker |Best Property Dealer/Agent in Kandivali/Borivali,Real estate agent,3.9,(53),,"Kanakia Park II, Kandivali, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101",
Plexus Realtors,Real Estate Builders & Construction Company,4.9,(116),,"B-1 Shop No. 10&11, Gokuldham CHS Shanti Nagar, Mahakali Caves Rd, near Marol Depot, behind PINNACLE BUSINESS PARK, MIDC, Andheri East, Mumbai, Maharashtra 400093","Closed ⋅ Opens 10:30 am Wed"
Argya Realty (Kandivali) - Real Estate Agent / Property Dealer / Broker,Real estate consultant,4.0,(3),,"Shop No. 13, Fakhri Apartments, Mathuradas Road, Kandivali, Bohra Colony, Dahanukar Wadi, Kandivali West, Mumbai, Maharashtra 400067",
Perfect Estate Consultant - Best real estate agent in Malad,Real estate agent,4.3,(8),,"Domnic Colony Rd Number 1, Nagari Colony, Orlem, Dominic Colony, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10 am Wed"
Allwayn Estate & Property Consultants,Real estate agency,5.0,(2),,"Shop No-13, Atlanta Apartment, Malad, Evershine Nagar, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10 am Wed"
RIDDHI-SIDDHI PROPERTY POWAI CHANDIVALI Estate Agents Real Estate Broker Property Agent Property Dealers Consultant Veridian,Real estate agent,4.6,(87),,,
Divine Properties,Real estate agent,4.8,(56),,"Shop No.10, Cancer Pisces, Chs ltd, off Marve Road, behind Fire Station, Malad, Divya Park, Bafhira Nagar, Malad West, Mumbai, Maharashtra 400095","Closed ⋅ Opens 10:30 am Wed"
Asian Agency Real Estate Consultancy,Real estate agency,5.0,(66),,"Shop No. 10, Gandhi Sadan Building, New Nagardas Rd, Patel Wadi, Natwar Nagar, Andheri East, Mumbai, Maharashtra 400069","Closed ⋅ Opens 9:30 am Wed"
Sunstone Realtors,Real estate consultant,5.0,(11),,"Office no.64, Lokhandwala Complex Market, near High Point Restaurant, Swami Samarth Nagar, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053","Closed ⋅ Opens 10 am Wed"
SIDDHI REALTORS,Real estate agency,4.9,(60),,"Shop 263, 2st Floor, Powai Plaza, Hiranandani Gardens, Sainath Nagar, Powai, Mumbai, Maharashtra 400076","Closed ⋅ Opens 10 am Wed"
BEST PROPERTIES,Real estate agency,4.9,(33),,"Raj Nagar Rd, Gautam Nagar, Jogeshwari West, Mumbai, Maharashtra 400102","Closes soon ⋅ 10 pm ⋅ Opens 10:15 am Wed"
Arch Real Estate,Real estate agency,4.6,(7),,"Shop no 4, 1st floor, DPS ONE, Ashok Chakravarti Rd, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10 am Wed"
Property Point real estate,Real estate consultant,4.5,(16),,"Shop No. 13, Shree Gokul Garden, New, Gokul Gagan Rd, opp. Videocon Tower Lane, Kandivali, Gayatri Nagar, Asha Nagar, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10 am Wed"
AV Properties,Real estate consultant,5.0,(3),N/A,"Ground Floor, Tushar Bunglow, next to Janseva Bank, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101","Closed ⋅ Opens 10 am Wed"
Heritage Home Associates,Real estate agency,4.8,(16),,"Office No- 8, Manish Deep CHS, Building No. 19, B -Wing, Manish Nagar, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053","Closed ⋅ Opens 10 am Wed"
Kiran Real Estate,Real estate agency,4.8,(8),"098192 63124","Shop No 2108 Ground Floor, Rustomjee Eaze Zone Mall, Malad, Sunder Nagar, Malad West, Mumbai, Maharashtra 400064","Closed ⋅ Opens 10 am Wed"
VR Associates-Real Estate Agent Firm at Powai and Chandivali,Real estate agent,4.9,(96),,"Office no. 3065, B-wing, Oberoi Garden Estate, Chandivali Farm Rd, Yadav Nagar, Chandivali, Powai, Mumbai, Maharashtra 400072",
Knox Realtors,Real estate agency,4.8,(9),,"Shop No.1, Eden Garden CHSL, Pawan Dham Marg, Mahavir Nagar, Kandivali West, Mumbai, Maharashtra 400062","Closed ⋅ Opens 9 am Wed"
MEHBOOB BHAI - property dealers in powai,Real estate agency,4.7,(111),,"Office no. 185, first floor, Galleria Shopping Mall, hiranandani garden, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076",Amol Real Estate,Real estate agency,4.9,(37),"098672 00102","Shop No.5, I C Colony, Borivali West, Mumbai, Maharashtra 400103","Closed ⋅ Opens 10 am Wed"
