SR No. ,Scheme Name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Scheme Address                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Scheme Type       ,Village   ,CTS No                       ,Developer                                                                                                                               ,Architect                                                                            ,No. of Slum Dwellers ,Land Type
    21 ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA BORIVALI AT OLD LINK ROAD, KANDIVALI (W),MUMBAI-400 067. FOR ' EKTA SEVA SANGH CHS (PROP)' ."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA BORIVALI AT OLD LINK ROAD, KANDIVALI (W),MUMBAI-400 067. FOR ' EKTA SEVA SANGH CHS (PROP)' ."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,33(10) New scheme ,          ,                             ,M/s. Ruparel Infra & realty Pvt Ltd And M/s. Shree Siddhivinayak Infrastructure & Realty Ltd. And M/s. Skoda Construction Ganesh Nagar. ,Shri. Rahul Veturkar (M/s. Veturkar & Associates)                                    ,                     ,STGOVT
    22 ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA-BORIVALI AT OLD LINK ROAD, KANDIVALI(W),MUMBAI-67. FOR' JAI BAJRANG CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"PROP.S.R.SCHEME ON CTS NO.471A(PT) OF VILLAGE KANDIVALI, TALUKA-BORIVALI AT OLD LINK ROAD, KANDIVALI(W),MUMBAI-67. FOR' JAI BAJRANG CHS (PROP)'"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,33(10) New scheme ,          ,                             ,M/s. Ruparel Infra & realty Pvt Ltd And M/s. Shree Siddhivinayak Infrastructure & Realty Ltd. And M/s. Skoda Construction Ganesh Nagar. ,Shri. Rahul Veturkar (M/s. Veturkar & Associates)                                    ,                     ,STGOVT
    23 ,"PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991 ON PLOT BEARING C.T.S.NO.226 OF VILLAGE MALAD [W] , MUMBAI.64 For Panchsheel CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991 ON PLOT BEARING C.T.S.NO.226 OF VILLAGE MALAD [W] , MUMBAI.64 For Panchsheel CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,33(10) New scheme ,          ,                             ,M/S.GANDHI BUILDERS & DEVELOPERS.                                                                                                       ,M/s. Sanjay Neve & Associates                                                        ,                     ,STGOVT
    24 ,PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991ON PLOT BEARING PART OF C.T.S.NO.226 OF VILLAGE MALAD & MUMBAI. 64. For Aakash CHS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,PROPOSED S.R.SCHEME U/S.33[10] OF DCR 1991ON PLOT BEARING PART OF C.T.S.NO.226 OF VILLAGE MALAD & MUMBAI. 64. For Aakash CHS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,33(10) New scheme ,          ,                             ,M/S.GANDHI BUILDERS & DEVELOPERS.                                                                                                       ,M/s. Sanjay Neve & Associates                                                        ,                     ,STGOVT
    25 ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S.NO. 471 [PT] OF VILLAGE KANDIVALI , AT GOSALIA ROAD , SANJAY NAGAR , KANDIVALI [W], MUMBAI- 67 for JAI HANUMAN SHEJAR SAMMITTEE & 8 OTHERS CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"PROPOSED S.R.SCHEME ON PLOT BEARING C.T.S.NO. 471 [PT] OF VILLAGE KANDIVALI , AT GOSALIA ROAD , SANJAY NAGAR , KANDIVALI [W], MUMBAI- 67 for JAI HANUMAN SHEJAR SAMMITTEE & 8 OTHERS CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,33(10) New scheme ,          ,                             ,M/s. Vijay Kamal Properties Pvt. Ltd.                                                                                                   ,M/s. Ellora Project Consultants Pvt. Ltd.                                            ,                     ,STGOVT
    26 ,"PROPOSED S.SHEME UNDER DCR 33[10] ON PLOT BEARING CTS NO.759 OF VILLAGE POISER ,TAL BORIVALI ,KANDIVALI [E] ,MUMBAI-400101 GAYATRI NAGAR SRA CHS [PROP] ,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"PROPOSED S.SHEME UNDER DCR 33[10] ON PLOT BEARING CTS NO.759 OF VILLAGE POISER ,TAL BORIVALI ,KANDIVALI [E] ,MUMBAI-400101 GAYATRI NAGAR SRA CHS [PROP] ,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,33(10) New scheme ,          ,                             ,S M/S.JAYANT ENTERPRISES-S.N.PROJECT                                                                                                    ,Shri. Satish M. Hande of M/s. Ace Consultants                                        ,                     ,STGOVT
    27 ,"CTS NO.163(A) S.NO.13 OF VILLAGE AKURLI, KANDIVALI (E). FOR ' HANUMAN NAGAR TRIMURTI' CO-OP HSG. SOC. (PROP.)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"CTS NO.163(A) S.NO.13 OF VILLAGE AKURLI, KANDIVALI (E). FOR ' HANUMAN NAGAR TRIMURTI' CO-OP HSG. SOC. (PROP.)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,33(10) New scheme ,          ,                             ,M/s. S B Developes                                                                                                                      ,M/s. Arch-V-Shan Creations                                                           ,                     ,STGOVT
    28 ,"PROPOSED S.R.SCHEME ON PLOT BEARING CTS NO.532,532/1 TO 11,535,535/1 TO 58 & NON SLUM CTS NO.534 OF VILLGE POISAR,BIHARI TEKADI GAODEVI ROAD,KANDIVALI [E],MUMBAI-400104. For Siddhivinayak SRA CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"PROPOSED S.R.SCHEME ON PLOT BEARING CTS NO.532,532/1 TO 11,535,535/1 TO 58 & NON SLUM CTS NO.534 OF VILLGE POISAR,BIHARI TEKADI GAODEVI ROAD,KANDIVALI [E],MUMBAI-400104. For Siddhivinayak SRA CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,33(10) New scheme ,          ,                             ,S M/S.JAYANT ENTERPRISES-S.N.PROJECT                                                                                                    ,M/s Deodhar Associates                                                               ,                     ,PRIVATE
    29 ,"PROPOSED S.R.SCHEME UNDER DCR 33[10] ON PLOT BEARING C.T.S NO. 540,541,542 & PART OF 543 ,OF VILLAGE KANDIVALI,KANDIVALI [WEST],MUMBAI.For Friend Shejar Sammittee CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"PROPOSED S.R.SCHEME UNDER DCR 33[10] ON PLOT BEARING C.T.S NO. 540,541,542 & PART OF 543 ,OF VILLAGE KANDIVALI,KANDIVALI [WEST],MUMBAI.For Friend Shejar Sammittee CHS"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,33(10) New scheme ,          ,                             ,M/s. Hari Om Sai Developers                                                                                                             ,M/s. Vivek Bhole Architectures                                                       ,                     ,MCGM & STGOVT
    30 ,"PROPOSED S.R.SCHEME ON PLOT BEARING CTS NO.233,234,234/1 TO 7 IRANI WADI,ROAD NO-4,KANDIVALI [WEST],MUMBAI-67"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"PROPOSED S.R.SCHEME ON PLOT BEARING CTS NO.233,234,234/1 TO 7 IRANI WADI,ROAD NO-4,KANDIVALI [WEST],MUMBAI-67"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,33(10) New scheme ,          ,                             ,MR.GURDIPSINGH S.GABADIA C.A. TO OF M/S.SAHEB DEV                                                                                       ,Shri. Ulhas Pagnis                                                                   ,                     ,PRIVATE
